Mã HP,Tên HP,Thời lượng,Số tín chỉ,TC học phí,Trọng số,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện quản lý
FL3032,Kỹ năng đọc tiếng Anh II,3(2-2-0-6),3,4,0.6,FL3031/FL1018,Reading Skills II,Kỹ năng đọc tiếng Anh II,KNN
FL1330,Tiếng Việt thực hành,2(2-0-0-4),2,2,0.6,,Vietnamese Language in Practice,Tiếng Việt thực hành,KNN
FL1310,Dẫn luận ngôn ngữ,2(2-1-0-4),2,3,0.6,,Introduction to Linguistics,Dẫn luận ngôn ngữ,KNN
FL3023,Kỹ năng nghe tiếng Anh III,3(2-2-0-6),3,4,0.6,FL3022,Listening Skills III,Kỹ năng nghe tiếng Anh III,KNN
FL3013,Kỹ năng nói tiếng Anh III,3(2-2-0-6),3,4,0.5,FL3012,Speaking Skills III,Kỹ năng nói tiếng Anh III,KNN
FL3033,Kỹ năng đọc tiếng Anh III,3(2-2-0-6),3,4,0.6,FL3032,Reading Skills III,Kỹ năng đọc tiếng Anh III,KNN
FL3043,Kỹ năng viết tiếng Anh III,3(3-1-0-6),3,4,0.5,FL3042,Writing Skills III,Kỹ năng viết tiếng Anh III,KNN
FL1411,Tiếng Nga I,3(2-2-0-6),3,4,0.7,,Russian I,Tiếng Nga I,KNN
FL1421,Tiếng Pháp I,3(2-2-0-6),3,4,0.6,,French I,Tiếng Pháp I,KNN
FL1431,Tiếng Nhật I,3(2-2-0-6),3,4,0.6,,Japanese I,Tiếng Nhật I,KNN
FL3024,Kỹ năng nghe tiếng Anh IV,3(2-2-0-6),3,4,0.65,FL3023,Listening Skills IV,Kỹ năng nghe tiếng Anh IV,KNN
FL3014,Kỹ năng nói tiếng Anh IV,3(3-1-0-6),3,4,0.5,FL3013,Speaking Skills IV,Kỹ năng nói tiếng Anh IV,KNN
FL3034,Kỹ năng đọc tiếng Anh IV,3(2-2-0-6),3,4,0.65,FL3033,Reading Skills IV,Kỹ năng đọc tiếng Anh IV,KNN
FL3044,Kỹ năng viết tiếng Anh IV,3(3-1-0-6),3,4,0.5,FL3043,Writing Skills IV,Kỹ năng viết tiếng Anh IV,KNN
FL3250,Văn hóa xã hội Anh,2(2-1-0-4),2,3,0.6,"FL3013,FL3023,FL3033,FL3043",British Culture and Society,Văn hóa xã hội Anh,KNN
FL1412,Tiếng Nga II,3(2-2-0-6),3,4,0.7,FL1411,Russian II,Tiếng Nga II,KNN
FL1422,Tiếng Pháp II,3(2-2-0-6),3,4,0.6,FL1421,French II,Tiếng Pháp II,KNN
FL1432,Tiếng Nhật II,3(2-2-0-6),3,4,0.6,FL1431/FL1410,Japanese II,Tiếng Nhật II,KNN
MI1013,Giải tích I,4(3-2-0-8),4,5,0.7,,Calculus I,Giải tích I,KTTD
MI1033,Đại số,4(3-2-0-8),4,5,0.7,,Algebra,Đại số,KTTD
FL1426,Tiếng Pháp AUF1,3(3-2-4-12),3,11,0.7,,French for AUF1,Tiếng Pháp AUF1,KNN
FL1427,Tiếng Pháp AUF2,3(3-1-5-12),3,11.5,0.7,FL1426,French for AUF2,Tiếng Pháp AUF2,KNN
MI1017,Toán đại cương I,2(2-0-0-4),2,2,0.7,,General Mathematics I,Toán đại cương I,KTTD
ICT1010,Giới thiệu ICT,2,2,2,1,,Introduction to ICT,Giới thiệu ICT,KCNTT
ICT1020,Kiến thức máy tính,4,4,4,1,,Computer Literacy,Kiến thức máy tính,KCNTT
ICT1030,Đạo lý máy tính,2,2,2,1,,Computer Ethics,Đạo lý máy tính,KCNTT
ICT1041,Tiếng Nhật 1,8(0-16-0-16),8,16,1,,Japanese 1,Tiếng Nhật 1,BDHDADTCVT
FL1012,Tiếng Anh VN I,3(2-1-0-4),3,3,1,,English I,Tiếng Anh VN I,KNN
SSH1060,Luật,2(2-0-0-4),2,2,0.7,,Laws,Luật,KML
MI1014,Toán I,5(5-3-0-10),5,8,0.5,,Math I,Toán I,KTTD
FL1011,Tiếng Anh KSCLC I,5(5-2-0-10),5,7,0.5,,English for Engineers I,Tiếng Anh KSCLC I,KNN
EV1014,Môi trường,2(2-0-0-4),2,2,0.7,,Environment,Môi trường,VKHVCNMT
FL1016,Kỹ năng nói TA I,2(2-2-0-4),2,4,0.5,,Speaking Skills I,Kỹ năng nói TA I,KNN
FL1017,Kỹ năng nghe TA I,2(2-2-0-4),2,4,0.6,,Listening Skills I,Kỹ năng nghe TA I,KNN
FL1018,Kỹ năng đọc TA I,2(2-2-0-4),2,4,0.6,,Reading Skills I,Kỹ năng đọc TA I,KNN
FL1019,Kỹ năng viết TA I,2(2-2-0-4),2,4,0.5,,Writing Skills I,Kỹ năng viết TA I,KNN
IT1013,Tin học đại cương,4(3-0-2-6),4,6,1,,Introduction to Computer Science,Tin học đại cương,KCNTT
PH1017,Vật lý,4(4-0-0-8),4,4,0.7,,Physics,Vật lý,VVLKT
ICT1043,Tiếng Nhật 3,4(0-8-0-8),4,8,1,,Japanese 3,Tiếng Nhật 3,BDHDADTCVT
FL1013,Tiếng Anh VN II,2(2-1-0-4),2,3,0.7,,English III,Tiếng Anh VN II,KNN
FL1021,Tiếng Anh KSCLC II,3(3-2-0-6),3,5,0.5,,English for Engineers II,Tiếng Anh KSCLC II,KNN
FL1026,Kỹ năng nói TA II,2(2-2-0-4),2,4,0.5,FL1016,Speaking Skills II,Kỹ năng nói TA II,KNN
FL1027,Kỹ năng nghe TA II,2(2-2-0-4),2,4,0.6,FL1017,Listening Skills II,Kỹ năng nghe TA II,KNN
FL1028,Kỹ năng đọc TA II,2(2-2-0-4),2,4,0.6,FL1018,Reading Skills II,Kỹ năng đọc TA II,KNN
FL1029,Kỹ năng viết TA II,2(2-2-0-4),2,4,0.5,FL1019,Writing Skills II,Kỹ năng viết TA II,KNN
FL1401,Tiếng Pháp KSCLC 1,3(3-2-0-6),3,5,0.6,,French 1,Tiếng Pháp KSCLC 1,KNN
HUT0001,Rèn luyện, ,0,0,1,,,Rèn luyện,PDTDH
ICT1042,Tiếng Nhật 2,8(0-16-0-16),8,16,0.6,,Japanese 2,Tiếng Nhật 2,BDHDADTCVT
ICT1051,Tiếng Nhật chuyên ngành 1, ,2,0,0.6,,IT Japanese 1,Tiếng Nhật chuyên ngành 1,BDHDADTCVT
ICT2010,Ngôn ngữ lập trình C,2,2,2,0.8,,C Programming Language,Ngôn ngữ lập trình C,KCNTT
ICT2110,Thực hành ngôn ngữ lập trình C,4,4,4,0.7,,C Programming Language Lab,Thực hành ngôn ngữ lập trình C,KCNTT
ME1010,Hình họa,2(1-1-0-4),2,2,1,,Descriptive Geometry,Hình họa,KCK
MI1016,Giải tích I,4(3-2-0-8),4,5,0.7,,Calculus I,Giải tích I,KTTD
MI1023,Giải tích II,3(2-2-0-6),3,4,0.7,MI1013,Calculus II,Giải tích II,KTTD
MI1024,Toán II,5(4-3-0-10),5,7,0.5,,Math II,Toán II,KTTD
MI1027,Toán đại cương II,2(2-0-0-4),2,2,0.7,MI1017,General Mathematics II,Toán đại cương II,KTTD
MI1043,Giải tích III,3(3-1-0-6),3,4,0.7,MI1013,Calculus III,Giải tích III,KTTD
MI1127,Bài tập toán đại cương II,1(0-2-0-4),1,2,0.7,MI1027=,General Mathematics Exercises II,Bài tập toán đại cương II,KTTD
MI2027,Lý thuyết xác suất,2(2-0-0-4),2,2,0.7,,Probability Theory,Lý thuyết xác suất,KTTD
MI2047,Toán rời rạc,2(2-0-0-4),2,2,0.7,,Discrete Mathematics,Toán rời rạc,KTTD
PH1027,Vật lý,4(4-0-0-8),4,4,0.7,,Physics,Vật lý,VVLKT
PH1019,Vật lý,4(4-0-0-8),4,4,0.5,,Physics,Vật lý,VVLKT
ME2023,Đồ họa kỹ thuật,2(2-0-1-4),2,3.5,0.6,,Engineering Graphics,Đồ họa kỹ thuật,KCK
ME2140,Cơ học kỹ thuật I,3(2-2-0-6),3,4,0.7,"(MI1010/MI1110/MI1111), (PH1010/PH1110)",Engineering Mechanics I,Cơ học kỹ thuật I,KCK
ME2141,Cơ học kỹ thuật B,4(4-2-0-8),4,6,0.7,,Engineering Mechanics B,Cơ học kỹ thuật B,KCK
ME3010,Cơ học kỹ thuật II,3(2-2-0-6),3,4,0.7,ME2140/ME2142,Engineering Mechanics II,Cơ học kỹ thuật II,KCK
ME3020,Vẽ kỹ thuật II,2(2-1-0-4),2,3,0.7,ME2020,Technical Drawing II,Vẽ kỹ thuật II,KCK
ME3030,Vẽ kỹ thuật III,2(2-1-0-4),2,3,0.7,ME3020,Technical Drawing III,Vẽ kỹ thuật III,KCK
ME3040,Sức bền vật liệu I,2(2-0-1-4),2,3.5,0.6,ME2140/ME2142/ME2040,Strength of Materials I,Sức bền vật liệu I,KCK
ME3060,Nguyên lý máy,3(3-0-1-6),3,4.5,0.6,ME2140/ME2142/ME2040/ME2141/ME2215/ME2112,Theory of Machinery,Nguyên lý máy,KCK
ME3070,Kỹ thuật đo,3(3-0-1-6),3,4.5,0.7,ME2012/ME2015/ME2020,Measurement Techniques,Kỹ thuật đo,KCK
ME3080,Kỹ thuật thủy khí,3(3-1-0.5-6),3,5,0.7,"ME2140, ME3040",Hydrodynamics ,Kỹ thuật thủy khí,KCK
ME3087,Kỹ thuật thủy khí A,4(3-2-0.5-8),4,6,0.7,"ME2140, ME3040",Hydrodynamics A,Kỹ thuật thủy khí A,KCK
ME3090,Chi tiết máy,3(3-0-1-6),3,4.5,0.6,ME3040/ME2101/ME2102/ME3190/ME3191/ME3041=,Machine Details,Chi tiết máy,KCK
ME3110,Vật liệu chất dẻo và composite,2(2-0-1-4),2,3.5,0.7,,Plastic and Composite Materials,Vật liệu chất dẻo và composite,KCK
ME3117,Vật liệu hàng không,2(2-1-0-4),2,3,0.7,ME3040,Aeronautic Materials,Vật liệu hàng không,KCK
ME3120,Kỹ thuật điều khiển tự động,3(3-0-1-6),3,4.5,0.7,,Automatic Control Engineering,Kỹ thuật điều khiển tự động,KCK
ME3130,Đồ án chi tiết máy,2(0-0-4-4),2,4,1,"((ME3191/ME3050),(ME3090/ME3220))/ME3191/ME3061",Project in Machine Details,Đồ án chi tiết máy,KCK
ME3140,Kỹ thuật an toàn và môi trường,2(2-1-0-4),2,3,0.7,,Safety and Environmental Engineering,Kỹ thuật an toàn và môi trường,KCK
ME3150,Thực tập cơ khí,2(0-0-4-4),2,4,0.7,,Mechanical Practicum,Thực tập cơ khí,KCK
ME3160,Thực tập kỹ thuật,2(0-0-8-4),2,4,1,,Engineering Practicum,Thực tập kỹ thuật,KCK
ME3167,Thực tập kỹ thuật ôtô,2.5(5-5-20-10),2.5,5,0.7,,Engineering Practicum (Automobile),Thực tập kỹ thuật ôtô,KCK
ME3170,Công nghệ chế tạo máy,4(4-0-1-8),4,5.5,0.7,,Mechanical Technology,Công nghệ chế tạo máy,KCK
ME3172,Công nghệ chế tạo máy I,4(4-2-0.5-8),4,7,0.7,,Mechanical Technology I,Công nghệ chế tạo máy I,KCK
ME3177,Công nghệ chế tạo máy C,3(3-1-0.5-6),3,5,0.6,,Mechanical Technology C,Công nghệ chế tạo máy C,KCK
ME3180,Đồ án công nghệ chế tạo máy,2(0-0-4-4),2,4,1,ME3170/ ME3172,Project in Mechanical Technology,Đồ án công nghệ chế tạo máy,KCK
ME3182,Công nghệ chế tạo máy E1,3(3-1-0.5-6),3,5,0.7,,Mechanical Technology E1,Công nghệ chế tạo máy E1,KCK
ME3184,Đồ án máy thể tích,1(0-2-0-2),1,2,1,,Project in Hydrostatic Machines,Đồ án máy thể tích,KCK
ME3186,"Máy dập CNC, PLC",2(2-1-0-4),2,3,1,,CNC and PLC Pressing Machines,"Máy dập CNC, PLC",KCK
ME3187,Đồ án môn học TKTT ôtô,1(0-2-0-2),1,2,1,,Automobile Design Project,Đồ án môn học TKTT ôtô,KCK
ME3188,Đồ án máy bay,1(0-2-0-2),1,2,1,,Aircraft Project,Đồ án máy bay,KCK
ME3190,Sức bền vật liệu,2(2-0-0-4),2,2,0.7,,Strength of Materials,Sức bền vật liệu,KCK
ME3200,Kỹ thuật thủy khí,2(2-1-0.5-4),2,4,0.7,,Hydrodynamics,Kỹ thuật thủy khí,KCK
ME3210,Nguyên lý máy,2(2-1-0-4),2,3,0.6,ME2040/ME2140/ME2142,Theory of Machinery C,Nguyên lý máy,KCK
ME3220,Chi tiết máy C,2(2-1-0-4),2,3,0.7,,Machine Details C,Chi tiết máy C,KCK
ME3230,Dung sai và kỹ thuật đo,2(2-1-0-4),2,3,0.7,,Tolerances and Measurement Techniques,Dung sai và kỹ thuật đo,KCK
ME3400,Kỹ thuật thủy khí C,2(2-1-0.5-4),2,4,0.7,ME3040/ME2030,Hydrodynamics C,Kỹ thuật thủy khí C,KCK
EE2040,Nhập môn thiết kế hệ thống điều khiển,3(3-1-0-6),3,4,0.7,,Introduction to Control System Design,Nhập môn thiết kế hệ thống điều khiển,KD
EE3000,Tín hiệu và hệ thống,3(3-1-0-6),3,4,0.7,"MI1020/MI1023, PH1010",Signals and Systems,Tín hiệu và hệ thống,KD
EE3010,Lý thuyết mạch điện I,4(3-2-0.5-6),4,6,0.7,"MI1020/MI1023, PH1010",Electrical Circuit Theory I,Lý thuyết mạch điện I,KD
EE3013,Lý thuyết mạch điện,4(4-1-0-8),4,5,0.7,"MI1020/MI1023, PH1010",Electrical Circuit Theory,Lý thuyết mạch điện,KD
EE3020,Lý thuyết mạch điện II,2(2-1-0.4-4),2,3.5,0.75,EE3010,Electrical Circuit Theory II,Lý thuyết mạch điện II,KD
EE3023,Thí nghiệm mạch điện,1(0-0-2-2),1,3,0.7,EE3013=,Electrical Circuit Lab,Thí nghiệm mạch điện,KD
EE3030,Lý thuyết trường điện từ,2(2-1-0.3-4),2,3.5,0.75,"MI1020/MI1023, PH1010",Electromagnetic Field Theory,Lý thuyết trường điện từ,KD
EE3033,Lý thuyết trường điện từ,2(2-0-0-4),2,2,0.7,"MI1020/MI1023, PH1010",Electromagnetic Field Theory,Lý thuyết trường điện từ,KD
EE3051,Mạch điện tử tương tự ,2(2-1-0.5-4),2,4,0.75,EE3010/EE3013,Analog Electronics,Mạch điện tử tương tự ,KD
EE3052,Mạch điện tử tương tự ,3(3-1-0.5-6),3,5,0.75,EE3010/EE3013,Analog Electronics,Mạch điện tử tương tự ,KD
EE3059,Cảm biến đo lường và xử lý tín hiệu đo,2(2-1-0-4),2,3,0.7,EE2010,Sensors and Signal Conditioning,Cảm biến đo lường và xử lý tín hiệu đo ,KD
EE3062,Cơ sở kỹ thuật đo ,3(3-1-0-6),3,4,0.75,EE3010/EE3013,Measurement Fundamentals,Cơ sở kỹ thuật đo ,KD
EE3071,Kỹ thuật điện tử số ,2(2-1-0.5-4),2,4,0.75,EE3010/EE3013,Digital Electronics,Kỹ thuật điện tử số ,KD
EE3090,Điện tử tương tự và số,4(3-1-1-8),4,5.5,0.7,EE3010/EE3013,Analog and Digital Electronics,Điện tử tương tự và số,KD
EE3093,Thực hành mạch điện tử,1(0-0-3-2),1,4.5,0.7,EE3090=,Electronic Circuit Lab,Thực hành mạch điện tử,KD
EE3099,Điện tử tương tự và số,4(4-2-0.5-8),4,7,0.75,ET2010,Analog and Digital Electronics,Điện tử tương tự và số,KD
EE3109,Điện tử tương tự và điện tử số,2(2-1-0-4),2,3,0.75,EE2010,Analog and Digital Electronics,Điện tử tương tự và điện tử số,KD
EE3110,Kỹ thuật đo lường,3(3-0-1-6),3,4.5,0.6,EE2110/EE3051/EE3052/EE2111,Measurement and Instrumentation Principles,Kỹ thuật đo lường,KD
EE3116,Kỹ thuật đo lường,3(3-0-0.5-6),3,4,0.7,EE3010/EE3013,Measurement and Instrumentation Principles,Kỹ thuật đo lường,KD
EE3129,Kỹ thuật đo và điều khiển ,2(2-1-0.4-4),2,3.5,0.75,EE2010,Instrumentation and Control Engineering,Kỹ thuật đo và điều khiển ,KD
EE3139,Hệ thống đồng hồ đo điện tử,2(2-1-0-4),2,3,0.75,EE2010,Electronic Measurement Instruments,Hệ thống đồng hồ đo điện tử,KD
EE3141,Máy điện cơ sở,3(3-0-1-8),3,4.5,0.7,PH1110,Electrical Machines,Máy điện cơ sở,KD
EE3142,Máy điện I ,2(2-1-0.4-4),2,3.5,0.7,"EE3010,EE3030=",Electrical Machines I,Máy điện I ,KD
EE3161,Máy điện II,3(3-1-0.5-6),3,5,0.75,EE3141,Electrical Machines II,Máy điện II,KD
EE3162,Máy điện II,2(2-1-0.4-4),2,3.5,0.75,EE3141/EE3142,Electrical Machines II,Máy điện II,KD
EE3173,Máy điện,3(3-1-0-6),3,4,0.7,EE3030/EE3033=,Electrical Machines,Máy điện,KD
EE3186,Mạch từ và máy biến áp,2(2-1-0-4),2,3,0.75,,Magnetic Circuits and Transformers,Mạch từ và máy biến áp,KD
EE3196,Máy điện ,3(2-1-1-4),3,4.5,0.75,,Electrical Machines,Máy điện ,KD
EE3209,Máy điện ,2(2-1-0.4-4),2,3.5,0.75,EE2010,Electrical Machines,Máy điện ,KD
EE3229,Thiết bị điện ,3(3-1-0.3-6),3,4.5,0.75,EE2010,Electrical Devices,Thiết bị điện ,KD
EE3239,Thiết bị điện ,2(1-1-0.3-2),2,2.5,0.75,EE2010,Electrical Devices,Thiết bị điện ,KD
EE3241,Khí cụ điện ,3(3-1-0.3-6),3,4.5,0.75,EE3020,Electrical Apparatuses,Khí cụ điện ,KD
EE3242,Khí cụ điện ,2(2-0-1-4),2,3.5,0.75,PH1120/PH1121/PH1122,Electrical Apparatuses,Khí cụ điện ,KD
EE3243,Khí cụ điện,2(2-0-0.5-4),2,3,0.7,EE3020/EE3013,Electrical Apparatuses,Khí cụ điện,KD
EE3251,Cơ sở lý thuyết khí cụ điện ,3(3-2-0.3-6),3,5.5,0.75,EE3020,Fundamentals of Electrical Apparatuses,Cơ sở lý thuyết khí cụ điện ,KD
EE3269,Khí cụ điện ,3(3-1-0.3-6),3,4.5,0.75,EE2010,Electrical Apparatuses,Khí cụ điện ,KD
EE3279,Khí cụ điện ,2(2-1-0.3-4),2,3.5,0.75,EE2010,Electrical Apparatuses,Khí cụ điện ,KD
EE3281,Lý thuyết điều khiển tự động I,2(2-1-0.5-4),2,4,0.75,EE3010,Automatic Control Theory I,Lý thuyết điều khiển tự động I,KD
EE3283,Lý thuyết điều khiển tuyến tính,4(3-1-0.5-8),4,5,0.7,EE3000,Linear Control Theory,Lý thuyết điều khiển tuyến tính,KD
EE3293,Lý thuyết điều khiển phi tuyến,4(3-1-0.5-8),4,5,0.7,EE3282/EE3283 ,Nonlinear Control Theory,Lý thuyết điều khiển phi tuyến,KD
EE3349,Cơ sở điều khiển tự động,2(2-1-0.4-4),2,3.5,0.75,EE2010,Fundamentals of Automatic Control,Cơ sở điều khiển tự động,KD
EE3359,Lý thuyết điều khiển tự động,3(3-1-0-6),3,4,0.5,"(MI1110/MI1111),(MI1140/MI1141)",Automatic Control Theory,Lý thuyết điều khiển tự động,KD
EE3369,Cơ sở tự động hoá,2(2-1-0.5-4),2,4,0.75,EE2010,Fundamentals of Automation,Cơ sở tự động hoá,KD
EE3389,Tự động hoá quá trình công nghệ,3(3-1-0.5-6),3,5,0.75,EE2010,Process Automation,Tự động hoá quá trình công nghệ,KD
EE3391,Vật liệu điện cao áp ,4(4-1-0.4-8),4,5.5,0.75,EE3030=,High-Voltage DiElectrical Materials,Vật liệu điện cao áp ,KD
EE3392,Vật liệu điện ,2(2-1-0.4-4),2,3.5,0.75,EE3030,Electrical Materials,Vật liệu điện ,KD
EE3410,Điện tử công suất,3(3-0-1-6),3,4.5,0.75,EE2021,Power Electronics,Điện tử công suất,KD
EE3413,Điện tử công suất             ,4(3-1-0.5-8),4,5,0.7,EE3090,Power Electronics,Điện tử công suất             ,KD
EE3421,Cung cấp điện ,3(3-1-0-6),3,4,0.7,,Power Supply Systems,Cung cấp điện ,KD
EE3422,Hệ thống cung cấp điện ,3(3-1-0.4-6),3,4.5,0.75,,Power Supply Systems,Hệ thống cung cấp điện ,KD
EE3432,Đồ án cung cấp điện,1(1-1-0-4),1,2,1,EE3422=,Project in Electrical Power Supply Systems,Đồ án cung cấp điện,KD
EE3469,Hệ thống cung cấp điện,2(2-1-0-4),2,3,1,,Power Supply Systems,Hệ thống cung cấp điện,KD
EE3479,Đồ án cung cấp điện,1(1-1-0-4),1,2,1,EE3449=,Project in Electrical Power Supply Systems,Đồ án cung cấp điện,KD
EE3480,Vi xử lý,3(3-0-1-6),3,4.5,0.7,IT1010/IT1110/EE2130,Microprocessors,Vi xử lý,KD
EE3483,Kỹ thuật vi xử lý,4(3-1-0.5-8),4,5,0.7,IT1010/EE3090,Microprocessors,Kỹ thuật vi xử lý,KD
EE3490,Kỹ thuật lập trình,3(3-1-0-6),3,4,0.7,IT1010/IT1110,Programming Techniques,Kỹ thuật lập trình,KD
EE3499,Vi xử lí,2(2-1-0-4),2,3,0.75,EE2010,Microprocessors ,Vi xử lí,KD
EE3500,Hệ thống thông tin công nghiệp,2(2-1-0.4-4),2,3.5,0.75,EE3110/EE3062,Industrial Information Systems,Hệ thống thông tin công nghiệp,KD
EE3510,Truyền động điện,3(3-0-1-6),3,4.5,0.75,"EE3410,(EE3140/EE3141/EE3142/EE3162)",Electrical Drives ,Truyền động điện,KD
EE3513,Truyền động điện              ,4(3-1-0.5-8),4,5,0.7,EE3410/EE3413,Electrical Drives,Truyền động điện              ,KD
EE3526,Truyền động điện ,2(2-1-0-4),2,3,0.75,EE3410/EE3413,Electrical Drives,Truyền động điện ,KD
EE3539,Truyền động điện,2(2-1-0-4),2,3,0.75,,Electrical Drives,Truyền động điện,KD
EE3549,Truyền động điện ,2(2-0-0-4),2,2,0.75,EE3410/EE3413,Electrical Drives,Truyền động điện ,KD
EE3552,Điều khiển quá trình,2(2-1-0.5-4),2,4,0.7,EE3282/EE3283,Process Control,Điều khiển quá trình,KD
EE3553,Điều khiển quá trình,3(2-1-0.5-6),3,4,0.7,EE3282/EE3283,Process Control,Điều khiển quá trình,KD
EE3569,Trang bị điện máy sản xuất,2(2-1-0-4),2,3,0.75,EE2010,Electrical Equipments of Machines,Trang bị điện máy sản xuất,KD
EE3570,Thực tập nhận thức,1(0-0-2-2),1,2,1,,Introductory Practicum,Thực tập nhận thức,KD
EE3573,Đồ án nhận thức thực tế,1(0-0-3-2),1,2,1,,Project in Introductory Practicum,Đồ án nhận thức thực tế,KD
EE3580,Thực tập xưởng điện,2(0-0-4-4),2,4,1,EE3141/EE3142,Workshop Practice,Thực tập xưởng điện,KD
ET3000,Lập trình,3(3-1-1-6),3,5.5,0.7,IT1010,Programming,Lập trình,KDTVT
ET3030,Lý thuyết mạch,4(4-1-1-8),4,6.5,0.7,ET3010,Circuit Theory,Lý thuyết mạch,KDTVT
